course_code,course title,description,prerequisites,corequisites,category,components,theme,level,credits,term,calendar_url
BIOL 342,Integrative Biology Laboratory,"Field-based and laboratory-based investigation of organisms. [1-3-0] Prerequisite: Third-year standing or higher in Combined Major in Science, and one of (a) BIOL 121 and BIOL 180 (or BIOL 140), or (b) SCIE 001, or (c) 8 transfer credits of first-year biology.",BIOL 121; BIOL 180,,Non-Life Sciences,Lecture; Labs,Human; Biodiversity,3,2,Term 1,
BIOL 344,Human Heredity and Evolution,Relates genetic and evolutionary concepts to humans. Primarily for upper-level students in the Faculty of Arts. Credit will be granted for only one of BIOL 121 or BIOL 344. Not open to students in the Life Sciences. [3-0-2],,,Non-Life Sciences,Lecture; Tutorials,Cell Biology; Development,3,3,Term 1,
BIOL 347,Principles and Methodology in Biological Research,Contemporary research in the Botany and Zoology Departments; history and methodology of scientific discovery; seminars on current problems. Restricted to Honours students in Biology. Not to be taken concurrently with BIOL 449. [2-3-0],,,Life Sciences Selections,Seminar,Human; Biodiversity,3,3,Term 1,
BIOL 351,Plant Physiology I,"Mechanisms and regulation of functional processes contributing to the assimilation, transport and utilization of water, mineral nutrients and carbon by plants. Restricted to Majors and Honours students in Biology. [3-3-0] Prerequisite: Either (a) BIOL 121 and one of CHEM 123, CHEM 130;  or (b) SCIE 001. CHEM 233 is recommended. Equivalency: APBI351, FRST311",BIOL 121,,Life Sciences Selections; Lab Selections,Lecture; Labs,Invertebrate; Experimental,3,4,Term 1,
BIOL 370,Principles of Muscle Physiology and Energetics,"Introduction to the structure and function of the muscular system, metabolism and energetics from a comparative perspective across vertebrates and invertebrates. [3-0-0] Prerequisite: BIOL 260 and one of BIOL 200, BIOL 201, BIOC 202, BIOC 203.",BIOL 260; BIOL 200; BIOL 201,,Life Sciences Selections,Lecture,Physiology; Human,3,3,Term 1,
BIOL 402,Aquatic Ecology,"Theoretical and applied limnology; ecology of inland water organisms in relation to physical, chemical and biological factors. One weekend field trip required. [2-4-0] Prerequisite: BIOL 230 and one of BIOL 300, STAT 200.",BIOL 230; BIOL 300,,Life Sciences Selections; Lab Selections,Lecture; Labs,Ecology; Field,4,3,Term 1,
BIOL 412,Plant Biogeography,"Description and interpretation of present and past floristic vegetational patterns; integration of evolutionary, ecological, and plant biogeographical concepts. Terrestrial and aquatic plants are considered. Restricted to students of third and fourth years. [3-0-0] Prerequisite: BIOL_V 121 or SCIE_V 001.",,,Life Sciences Selections,Lecture,Behaviour; Methods,4,3,Term 1,
BIOL 415,Evolutionary Processes in Plants,"Experimental and comparative analysis of evolutionary processes, speciation, and phylogenetic patterns in plants. [2-0-0] Prerequisite: BIOL 336.",BIOL 336,,Life Sciences Selections,Lecture; Tutorials,Invertebrate; Experimental,4,3,Term 1,
BIOL 417,Phylogenetic Biology,"Biodiversity from an evolutionary perspective. The evolutionary (phylogenetic) tree of genetic descent that links all organisms: its reconstruction, interpretation, and implications for fields from ecology to molecular biology. [2-0-2] Prerequisite: BIOL 200 and one of BIOL 233, BIOL 234. BIOL 336 is recommended",BIOL 200; BIOL 234,,Life Sciences Selections,Lecture; Tutorials,Behaviour; Methods,4,3,Term 1,
BIOL 421,Plant-Microbe Interactions,"Biology and physiology of selected plant-microbe relationships. Impacts of plant-microbe relationships on society. [3-0-2] Prerequisite: BIOL 200 and one of BIOC 202, BIOC 203, BIOL 201, BIOL 233, BIOL 234, BIOL 260. Equivalency: APBI 426",BIOL 200; BIOL 201; BIOL 234; BIOL 260,,Life Sciences Selections,Lecture; Tutorials,Physiology; Research,4,3,Term 1,
BIOL 427,Ornithology and Herpetology,"Ecology, evolution, behavior, and conservation of birds, amphibians, and reptiles. Laboratories and field projects will focus on identification, systematics, and natural history, with particular attention to species from British Columbia. [2-3-0] Prerequisite: BIOL_V 121 or SCIE_V 001.",,,Life Sciences Selections,Lecture; Labs,Ecology; Field,4,3,Term 1,
BIOL 428,Evolutionary Morphology of Marine Invertebrates,"Comparative analysis of marine invertebrate morphology from a macroevolutionary perspective. Origin and evolution of reoccurring adaptations in meiofaunal, benthic, pelagic, and deep-sea invertebrates, including their larval stages. [3-0-0] Prerequisite: BIOL_V 205 and 3rd-year class standing or higher.",,,Life Sciences Selections,Lecture,Human; Biodiversity,4,3,Term 1,
BIOL 431,Evolutionary Cell Biology,"Ultrastructure, biogenesis, and evolution of eukaryotic cells and cell organelles, including their macromolecular basis. [3-0-0] Prerequisite: BIOL200 And fourth-year standing.",BIOL 200,,Life Sciences Selections,Lecture,Cell Biology; Development,4,3,Term 1,
BIOL 436,Integrated Functional Genomics,"Global transcript, protein, and metabolite profiling technologies and their integration; applications focus on plant functions and plant interactions with pathogens and pests. [3-0-0] One of BIOL_V 335, BIOL_V 338, BIOT_V 380. Equivalency: FNH_V 436.",,,Life Sciences Selections,Lecture,Ecology; Field,4,3,Term 1,
BIOL 437,Laboratory in Animal Cell Molecular Biology,"The use of recombinant DNA techniques to explore problems in animal developmental biology. [2-4-0] Prerequisite: All of BIOL 331, BIOL 335 and one of BIOL 201, BIOC 202, BIOC 203.",BIOL 331; BIOL 335; BIOL 201,,Life Sciences Selections; Lab Selections,Labs,Cell Biology; Development,4,3,Term 1,
BIOL 440,Plant Genomics,"Concepts, principles, applications, and recent discoveries in genome structure, genetics, and comparative genomics in plants with a focus on economically important plants. [3-0-0] Corequisite: One of BIOL_V 335, BIOL_V 338, BIOT_V 380. Equivalency: APBI_V 440.",,,Life Sciences Selections,Lecture,Evolution; Genetics,4,3,Term 1,
BIOL 441,Advanced Topics in Cell Biology,"Analysis of cellular organelles and the intracellular traffic between them, concentrating on mammalian cell systems. [3-0-0] Prerequisite: One of BIOL 340, BIOL 341 and one of BIOL 361, BIOL 362, BIOL 370, BIOL 371.",BIOL 340; BIOL 341; BIOL 362; BIOL 370; BIOL 371,,Life Sciences Selections,Lecture,Ecology; Evolution,4,3,Term 1,
BIOL 447,Principles and Methodology in Biological Research,"Seminars, debates, workshops and tutorials designed to produce competence in specific areas of Biology. Restricted to Honours students in Biology. [2-3-0] Corequisite: BIOL 449",,,Life Sciences Selections,Lecture,Physiology; Human,4,3,Term 1,
BIOL 449,Directed Biological Research,"A course designed to allow students to undertake a research project in selected fields. Open only to Honours students in Biology, with permission of the supervisor. Presentation of a thesis and an oral examination are required. Corequisite: BIOL 447",,,Life Sciences Selections,Thesis,Physiology; Research,4,6,Term 1; Term 2,
BIOL 457,Comparative Environmental Physiology,"A survey of physiological adaptions of animals to different environments. [3-0-0] Prerequisite: One of APBI 311, BIOL 364.",BIOL 364,,Life Sciences Selections,Lecture,Physiology; Research,4,3,Term 1,
BIOL 460,Neurobiology of Vision,"Advanced investigation of animal vision; critical analysis of recent literature and research project development in visual neurobiology. [3-0-0] Prerequisite: One of BIOL 372, CAPS 301, PSYC 304, PSYC 367, PSYC 370.",BIOL 372,,Life Sciences Selections,Lecture,Ecology; Field,4,3,Term 1,
BIOL 463,Gene Regulation in Development,"Control of gene expression in development; the genetic and physiological basis of epigenetic determination; inductive interactions. [3-0-0] Prerequisite:  Either (a) BIOL 335 and one of BIOL 201, BIOC 202, BIOC 203;  or (b) BIOT 380.",BIOL 335; BIOL 201,,Life Sciences Selections,Lecture,Invertebrate; Experimental,4,3,Term 1,
BIOL 321,Morphology and Evolution of Bryophytes,"A study of evolution, taxonomy and morphology of mosses, liverworts and hornworts with emphasis on living plants in their environment. [2-4-0] Prerequisite: BIOL 121",,,Life Sciences Selections,Lecture,Evolution; Genetics,3,3,Term 2,
BIOL 418,Evolutionary Ecology,"Ecological adaptation and evolutionary processes in contemporary populations; natural selection, variation, optimization, foraging theory, coevolution, arms races; life history theory, evolution of sex, sexual selection, evolution in managed populations. [2-2-0] Prerequisite: BIOL 336 and BIOL 230.",BIOL 336; BIOL 230,,Life Sciences Selections,Lecture,Ecology; Evolution,4,3,Term 1,
BIOL 465,Diversity and Evolution of Fishes,"Introduction to fish diversity, with a focus on their phylogenetic interrelationships and the evolutionary, ecological, and biogeographic processes involved in generating patterns of fish biodiversity. [2-3-0] Prerequisite: BIOL 204",,,Life Sciences Selections,Lecture,Analysis; Ecology,4,3,Term 1,
BIOL 322,Structure and Evolution of Ferns and Fern-allies,"Anatomy, morphology and relationships of the ferns and fern-allies, with assessment of both fossil and extant taxa. [2-4-0] Prerequisite: BIOL_V 121 or SCIE_V 001.",,,Life Sciences Selections,Lecture,Ecology; Microbial,3,3,Not available,
BIOL 413,Zoogeography,"The role of physical, ecological, and evolutionary processes in determining the geographic distribution of animals including humans, with implications for speciation and conservation. Restricted to students in third and fourth year. [3-0-0] Prerequisite: BIOL_V 121 or SCIE_V 001.",,,Life Sciences Selections,Lecture,Experience Industrial; Education,4,3,Not available,
